ReviewID,CustomerID,ProductID,Rating,TanggalReview
1,1,1,5,2024-05-11
2,2,3,4,2024-05-12
3,3,4,3,2024-05-13
4,4,2,4,2024-05-14
5,5,5,5,2024-05-15
6,6,4,5,2024-05-17
7,7,2,3,2024-05-18
8,8,3,3,2024-05-18
9,9,4,3,2024-05-20
10,10,4,5,2024-05-21
11,11,1,4,2024-05-27
12,12,2,5,2024-05-28
13,13,3,4,2024-05-29
14,14,5,5,2024-05-31
15,15,5,5,2024-05-31
16,16,3,5,2024-06-04
17,17,5,5,2024-06-06
18,18,3,3,2024-06-07
19,19,2,4,2024-06-09
20,20,3,4,2024-06-10
21,21,4,4,2024-06-12
22,22,2,4,2024-06-13
23,23,1,5,2024-06-14
24,24,1,4,2024-06-15
25,25,3,5,2024-06-16
